STATION_ID,STATION_LOCATION,STATE_NAME,LATITUDE,LONGITUDE,API,CLASS,HOUR_MYT,TEMPERATURE_C,RAIN_FORECAST_SLOTS,HOTSPOT_COUNT,FRP_MW_MEAN,FRP_MW_MAX,HIGH_CONF_COUNT,HOTSPOT_COUNT_100KM,FRP_MW_MEAN_100KM,FRP_MW_MAX_100KM,HIGH_CONF_COUNT_100KM,DATA_FLAG
CA03K,"Alor Setar, KEDAH",Kedah,6.13713,100.346857,56.0,Moderate,2026-05-07 10:00:00,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA03K,"Alor Setar, KEDAH",Kedah,6.13713,100.346857,55.0,Moderate,2026-05-07 11:00:00,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA04K,"Sungai Petani, KEDAH",Kedah,5.629709,100.46771,56.0,Moderate,2026-05-06 19:00:00,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA04K,"Sungai Petani, KEDAH",Kedah,5.629709,100.46771,58.0,Moderate,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA04K,"Sungai Petani, KEDAH",Kedah,5.629709,100.46771,58.0,Moderate,2026-05-07 10:00:00,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA04K,"Sungai Petani, KEDAH",Kedah,5.629709,100.46771,58.0,Moderate,2026-05-07 11:00:00,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA05K,"Kulim Hi-Tech, KEDAH",Kedah,5.401634,100.589653,51.0,Moderate,2026-05-06 19:00:00,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA05K,"Kulim Hi-Tech, KEDAH",Kedah,5.401634,100.589653,42.0,Good,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA05K,"Kulim Hi-Tech, KEDAH",Kedah,5.401634,100.589653,40.0,Good,2026-05-07 10:00:00,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA05K,"Kulim Hi-Tech, KEDAH",Kedah,5.401634,100.589653,40.0,Good,2026-05-07 11:00:00,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA06P,"Seberang Jaya, PULAU PINANG",Pulau Pinang,5.398419,100.403976,52.0,Moderate,2026-05-06 19:00:00,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA06P,"Seberang Jaya, PULAU PINANG",Pulau Pinang,5.398419,100.403976,54.0,Moderate,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA06P,"Seberang Jaya, PULAU PINANG",Pulau Pinang,5.398419,100.403976,53.0,Moderate,2026-05-07 10:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA06P,"Seberang Jaya, PULAU PINANG",Pulau Pinang,5.398419,100.403976,54.0,Moderate,2026-05-07 11:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA07P,"Seberang Perai, PULAU PINANG",Pulau Pinang,5.329421,100.443457,58.0,Moderate,2026-05-06 19:00:00,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA07P,"Seberang Perai, PULAU PINANG",Pulau Pinang,5.329421,100.443457,57.0,Moderate,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA07P,"Seberang Perai, PULAU PINANG",Pulau Pinang,5.329421,100.443457,57.0,Moderate,2026-05-07 10:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA07P,"Seberang Perai, PULAU PINANG",Pulau Pinang,5.329421,100.443457,57.0,Moderate,2026-05-07 11:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA08P,"Minden, PULAU PINANG",Pulau Pinang,5.356226,100.30794,40.0,Good,2026-05-06 19:00:00,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA08P,"Minden, PULAU PINANG",Pulau Pinang,5.356226,100.30794,55.0,Moderate,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA08P,"Minden, PULAU PINANG",Pulau Pinang,5.356226,100.30794,55.0,Moderate,2026-05-07 10:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA08P,"Minden, PULAU PINANG",Pulau Pinang,5.356226,100.30794,55.0,Moderate,2026-05-07 11:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA09P,"Balik Pulau, PULAU PINANG",Pulau Pinang,5.337128,100.216642,31.0,Good,2026-05-06 19:00:00,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA09P,"Balik Pulau, PULAU PINANG",Pulau Pinang,5.337128,100.216642,34.0,Good,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA09P,"Balik Pulau, PULAU PINANG",Pulau Pinang,5.337128,100.216642,34.0,Good,2026-05-07 10:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA09P,"Balik Pulau, PULAU PINANG",Pulau Pinang,5.337128,100.216642,35.0,Good,2026-05-07 11:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA10A,"Taiping, PERAK",Perak,4.898865,100.679133,54.0,Moderate,2026-05-06 19:00:00,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA10A,"Taiping, PERAK",Perak,4.898865,100.679133,54.0,Moderate,2026-05-07 09:00:00,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA10A,"Taiping, PERAK",Perak,4.898865,100.679133,55.0,Moderate,2026-05-07 10:00:00,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
